Date,Medication,Units_Sold
2023-07-09,Relenza,106
2023-07-10,Relenza,120
2023-07-11,Relenza,128
2023-07-12,Relenza,114
2023-07-13,Relenza,99
2023-07-14,Relenza,82
2023-07-15,Relenza,87
2023-07-16,Relenza,110
2023-07-17,Relenza,113
2023-07-18,Relenza,117
2023-07-19,Relenza,113
2023-07-20,Relenza,84
2023-07-21,Relenza,84
2023-07-22,Relenza,79
2023-07-23,Relenza,91
2023-07-24,Relenza,113
2023-07-25,Relenza,110
2023-07-26,Relenza,109
2023-07-27,Relenza,84
2023-07-28,Relenza,73
2023-07-29,Relenza,73
2023-07-30,Relenza,88
2023-07-31,Relenza,100
2023-08-01,Relenza,111
2023-08-02,Relenza,95
2023-08-03,Relenza,82
2023-08-04,Relenza,69
2023-08-05,Relenza,69
2023-08-06,Relenza,85
2023-08-07,Relenza,103
2023-08-08,Relenza,92
2023-08-09,Relenza,90
2023-08-10,Relenza,80
2023-08-11,Relenza,59
2023-08-12,Relenza,71
2023-08-13,Relenza,82
2023-08-14,Relenza,82
2023-08-15,Relenza,96
2023-08-16,Relenza,79
2023-08-17,Relenza,70
2023-08-18,Relenza,64
2023-08-19,Relenza,67
2023-08-20,Relenza,65
2023-08-21,Relenza,92
2023-08-22,Relenza,92
2023-08-23,Relenza,81
2023-08-24,Relenza,65
2023-08-25,Relenza,53
2023-08-26,Relenza,52
2023-08-27,Relenza,59
2023-08-28,Relenza,80
2023-08-29,Relenza,84
2023-08-30,Relenza,71
2023-08-31,Relenza,57
2023-09-01,Relenza,52
2023-09-02,Relenza,50
2023-09-03,Relenza,63
2023-09-04,Relenza,69
2023-09-05,Relenza,77
2023-09-06,Relenza,73
2023-09-07,Relenza,58
2023-09-08,Relenza,48
2023-09-09,Relenza,55
2023-09-10,Relenza,59
2023-09-11,Relenza,73
2023-09-12,Relenza,66
2023-09-13,Relenza,60
2023-09-14,Relenza,47
2023-09-15,Relenza,43
2023-09-16,Relenza,52
2023-09-17,Relenza,52
2023-09-18,Relenza,53
2023-09-19,Relenza,64
2023-09-20,Relenza,54
2023-09-21,Relenza,47
2023-09-22,Relenza,54
2023-09-23,Relenza,41
2023-09-24,Relenza,56
2023-09-25,Relenza,61
2023-09-26,Relenza,65
2023-09-27,Relenza,54
2023-09-28,Relenza,53
2023-09-29,Relenza,44
2023-09-30,Relenza,46
2023-10-01,Relenza,52
2023-10-02,Relenza,65
2023-10-03,Relenza,64
2023-10-04,Relenza,57
2023-10-05,Relenza,49
2023-10-06,Relenza,32
2023-10-07,Relenza,43
2023-10-08,Relenza,50
2023-10-09,Relenza,64
2023-10-10,Relenza,56
2023-10-11,Relenza,55
2023-10-12,Relenza,55
2023-10-13,Relenza,40
2023-10-14,Relenza,35
2023-10-15,Relenza,60
2023-10-16,Relenza,54
2023-10-17,Relenza,54
2023-10-18,Relenza,49
2023-10-19,Relenza,49
2023-10-20,Relenza,46
2023-10-21,Relenza,51
2023-10-22,Relenza,50
2023-10-23,Relenza,53
2023-10-24,Relenza,57
2023-10-25,Relenza,55
2023-10-26,Relenza,46
2023-10-27,Relenza,47
2023-10-28,Relenza,36
2023-10-29,Relenza,45
2023-10-30,Relenza,57
2023-10-31,Relenza,63
2023-11-01,Relenza,53
2023-11-02,Relenza,44
2023-11-03,Relenza,47
2023-11-04,Relenza,46
2023-11-05,Relenza,47
2023-11-06,Relenza,58
2023-11-07,Relenza,66
2023-11-08,Relenza,51
2023-11-09,Relenza,51
2023-11-10,Relenza,41
2023-11-11,Relenza,47
2023-11-12,Relenza,55
2023-11-13,Relenza,58
2023-11-14,Relenza,63
2023-11-15,Relenza,68
2023-11-16,Relenza,63
2023-11-17,Relenza,37
2023-11-18,Relenza,53
2023-11-19,Relenza,59
2023-11-20,Relenza,77
2023-11-21,Relenza,67
2023-11-22,Relenza,69
2023-11-23,Relenza,53
2023-11-24,Relenza,55
2023-11-25,Relenza,63
2023-11-26,Relenza,62
2023-11-27,Relenza,66
2023-11-28,Relenza,81
2023-11-29,Relenza,71
2023-11-30,Relenza,60
2023-12-01,Relenza,59
2023-12-02,Relenza,49
2023-12-03,Relenza,62
2023-12-04,Relenza,79
2023-12-05,Relenza,76
2023-12-06,Relenza,71
2023-12-07,Relenza,68
2023-12-08,Relenza,57
2023-12-09,Relenza,52
2023-12-10,Relenza,72
2023-12-11,Relenza,88
2023-12-12,Relenza,86
2023-12-13,Relenza,83
2023-12-14,Relenza,64
2023-12-15,Relenza,60
2023-12-16,Relenza,55
2023-12-17,Relenza,78
2023-12-18,Relenza,89
2023-12-19,Relenza,85
2023-12-20,Relenza,91
2023-12-21,Relenza,74
2023-12-22,Relenza,60
2023-12-23,Relenza,70
2023-12-24,Relenza,75
2023-12-25,Relenza,90
2023-12-26,Relenza,93
2023-12-27,Relenza,85
2023-12-28,Relenza,78
2023-12-29,Relenza,68
2023-12-30,Relenza,75
2023-12-31,Relenza,72
2023-01-01,Paxlovid,98
2023-01-02,Paxlovid,113
2023-01-03,Paxlovid,119
2023-01-04,Paxlovid,108
2023-01-05,Paxlovid,92
2023-01-06,Paxlovid,80
2023-01-07,Paxlovid,82
2023-01-08,Paxlovid,98
2023-01-09,Paxlovid,115
2023-01-10,Paxlovid,122
2023-01-11,Paxlovid,109
2023-01-12,Paxlovid,87
2023-01-13,Paxlovid,76
2023-01-14,Paxlovid,86
2023-01-15,Paxlovid,103
2023-01-16,Paxlovid,120
2023-01-17,Paxlovid,117
2023-01-18,Paxlovid,99
2023-01-19,Paxlovid,93
2023-01-20,Paxlovid,76
2023-01-21,Paxlovid,83
2023-01-22,Paxlovid,100
2023-01-23,Paxlovid,118
2023-01-24,Paxlovid,123
2023-01-25,Paxlovid,114
2023-01-26,Paxlovid,97
2023-01-27,Paxlovid,81
2023-01-28,Paxlovid,75
2023-01-29,Paxlovid,96
2023-01-30,Paxlovid,122
2023-01-31,Paxlovid,120
2023-02-01,Paxlovid,119
2023-02-02,Paxlovid,89
2023-02-03,Paxlovid,92
2023-02-04,Paxlovid,84
2023-02-05,Paxlovid,97
2023-02-06,Paxlovid,112
2023-02-07,Paxlovid,122
2023-02-08,Paxlovid,101
2023-02-09,Paxlovid,88
2023-02-10,Paxlovid,80
2023-02-11,Paxlovid,73
2023-02-12,Paxlovid,99
2023-02-13,Paxlovid,124
2023-02-14,Paxlovid,121
2023-02-15,Paxlovid,105
2023-02-16,Paxlovid,88
2023-02-17,Paxlovid,82
2023-02-18,Paxlovid,81
2023-02-19,Paxlovid,102
2023-02-20,Paxlovid,112
2023-02-21,Paxlovid,114
2023-02-22,Paxlovid,114
2023-02-23,Paxlovid,94
2023-02-24,Paxlovid,71
2023-02-25,Paxlovid,82
2023-02-26,Paxlovid,105
2023-02-27,Paxlovid,114
2023-02-28,Paxlovid,116
2023-03-01,Paxlovid,107
2023-03-02,Paxlovid,91
2023-03-03,Paxlovid,79
2023-03-04,Paxlovid,83
2023-03-05,Paxlovid,99
2023-03-06,Paxlovid,110
2023-03-07,Paxlovid,114
2023-03-08,Paxlovid,103
2023-03-09,Paxlovid,91
2023-03-10,Paxlovid,83
2023-03-11,Paxlovid,79
2023-03-12,Paxlovid,92
2023-03-13,Paxlovid,111
2023-03-14,Paxlovid,126
2023-03-15,Paxlovid,107
2023-03-16,Paxlovid,90
2023-03-17,Paxlovid,76
2023-03-18,Paxlovid,87
2023-03-19,Paxlovid,99
2023-03-20,Paxlovid,112
2023-03-21,Paxlovid,114
2023-03-22,Paxlovid,110
2023-03-23,Paxlovid,92
2023-03-24,Paxlovid,74
2023-03-25,Paxlovid,90
2023-03-26,Paxlovid,96
2023-03-27,Paxlovid,104
2023-03-28,Paxlovid,127
2023-03-29,Paxlovid,108
2023-03-30,Paxlovid,93
2023-03-31,Paxlovid,88
2023-04-01,Paxlovid,79
2023-04-02,Paxlovid,102
2023-04-03,Paxlovid,121
2023-04-04,Paxlovid,114
2023-04-05,Paxlovid,115
2023-04-06,Paxlovid,84
2023-04-07,Paxlovid,80
2023-04-08,Paxlovid,78
2023-04-09,Paxlovid,103
2023-04-10,Paxlovid,110
2023-04-11,Paxlovid,116
2023-04-12,Paxlovid,104
2023-04-13,Paxlovid,85
2023-04-14,Paxlovid,76
2023-04-15,Paxlovid,84
2023-04-16,Paxlovid,99
2023-04-17,Paxlovid,114
2023-04-18,Paxlovid,116
2023-04-19,Paxlovid,106
2023-04-20,Paxlovid,83
2023-04-21,Paxlovid,77
2023-04-22,Paxlovid,83
2023-04-23,Paxlovid,101
2023-04-24,Paxlovid,116
2023-04-25,Paxlovid,113
2023-04-26,Paxlovid,110
2023-04-27,Paxlovid,91
2023-04-28,Paxlovid,87
2023-04-29,Paxlovid,76
2023-04-30,Paxlovid,99
2023-05-01,Paxlovid,120
2023-05-02,Paxlovid,118
2023-05-03,Paxlovid,104
2023-05-04,Paxlovid,87
2023-05-05,Paxlovid,84
2023-05-06,Paxlovid,76
2023-05-07,Paxlovid,98
2023-05-08,Paxlovid,111
2023-05-09,Paxlovid,115
2023-05-10,Paxlovid,110
2023-05-11,Paxlovid,89
2023-05-12,Paxlovid,81
2023-05-13,Paxlovid,78
2023-05-14,Paxlovid,104
2023-05-15,Paxlovid,116
2023-05-16,Paxlovid,125
2023-05-17,Paxlovid,106
2023-05-18,Paxlovid,93
2023-05-19,Paxlovid,84
2023-05-20,Paxlovid,86
2023-05-21,Paxlovid,108
2023-05-22,Paxlovid,107
2023-05-23,Paxlovid,120
2023-05-24,Paxlovid,106
2023-05-25,Paxlovid,88
2023-05-26,Paxlovid,87
2023-05-27,Paxlovid,81
2023-05-28,Paxlovid,104
2023-05-29,Paxlovid,110
2023-05-30,Paxlovid,124
2023-05-31,Paxlovid,108
2023-06-01,Paxlovid,89
2023-06-02,Paxlovid,72
2023-06-03,Paxlovid,82
2023-06-04,Paxlovid,96
2023-06-05,Paxlovid,124
2023-06-06,Paxlovid,119
2023-06-07,Paxlovid,105
2023-06-08,Paxlovid,88
2023-06-09,Paxlovid,73
2023-06-10,Paxlovid,91
2023-06-11,Paxlovid,106
2023-06-12,Paxlovid,115
2023-06-13,Paxlovid,130
2023-06-14,Paxlovid,108
2023-06-15,Paxlovid,96
2023-06-16,Paxlovid,83
2023-06-17,Paxlovid,81
2023-06-18,Paxlovid,100
2023-06-19,Paxlovid,117
2023-06-20,Paxlovid,112
2023-06-21,Paxlovid,110
2023-06-22,Paxlovid,97
2023-06-23,Paxlovid,77
2023-06-24,Paxlovid,83
2023-06-25,Paxlovid,94
2023-06-26,Paxlovid,113
2023-06-27,Paxlovid,117
2023-06-28,Paxlovid,116
2023-06-29,Paxlovid,89
2023-06-30,Paxlovid,77
2023-07-01,Paxlovid,83
2023-07-02,Paxlovid,91
2023-07-03,Paxlovid,103
2023-07-04,Paxlovid,112
2023-07-05,Paxlovid,110
2023-07-06,Paxlovid,91
2023-07-07,Paxlovid,84
2023-07-08,Paxlovid,76
2023-07-09,Paxlovid,98
2023-07-10,Paxlovid,107
2023-07-11,Paxlovid,120
2023-07-12,Paxlovid,101
2023-07-13,Paxlovid,90
2023-07-14,Paxlovid,81
2023-07-15,Paxlovid,82
2023-07-16,Paxlovid,88
2023-07-17,Paxlovid,123
2023-07-18,Paxlovid,117
2023-07-19,Paxlovid,100
2023-07-20,Paxlovid,95
2023-07-21,Paxlovid,84
2023-07-22,Paxlovid,82
2023-07-23,Paxlovid,107
2023-07-24,Paxlovid,111
2023-07-25,Paxlovid,120
2023-07-26,Paxlovid,111
2023-07-27,Paxlovid,98
2023-07-28,Paxlovid,70
2023-07-29,Paxlovid,95
2023-07-30,Paxlovid,105
2023-07-31,Paxlovid,117
2023-08-01,Paxlovid,115
2023-08-02,Paxlovid,104
2023-08-03,Paxlovid,92
2023-08-04,Paxlovid,82
2023-08-05,Paxlovid,86
2023-08-06,Paxlovid,100
2023-08-07,Paxlovid,117
2023-08-08,Paxlovid,108
2023-08-09,Paxlovid,107
2023-08-10,Paxlovid,84
2023-08-11,Paxlovid,80
2023-08-12,Paxlovid,90
2023-08-13,Paxlovid,95
2023-08-14,Paxlovid,112
2023-08-15,Paxlovid,115
2023-08-16,Paxlovid,105
2023-08-17,Paxlovid,94
2023-08-18,Paxlovid,84
2023-08-19,Paxlovid,91
2023-08-20,Paxlovid,94
2023-08-21,Paxlovid,119
2023-08-22,Paxlovid,123
2023-08-23,Paxlovid,116
2023-08-24,Paxlovid,86
2023-08-25,Paxlovid,70
2023-08-26,Paxlovid,82
2023-08-27,Paxlovid,114
2023-08-28,Paxlovid,110
2023-08-29,Paxlovid,121
2023-08-30,Paxlovid,97
2023-08-31,Paxlovid,100
2023-09-01,Paxlovid,71
2023-09-02,Paxlovid,72
2023-09-03,Paxlovid,100
2023-09-04,Paxlovid,116
2023-09-05,Paxlovid,126
2023-09-06,Paxlovid,112
2023-09-07,Paxlovid,81
2023-09-08,Paxlovid,79
2023-09-09,Paxlovid,80
2023-09-10,Paxlovid,93
2023-09-11,Paxlovid,117
2023-09-12,Paxlovid,124
2023-09-13,Paxlovid,104
2023-09-14,Paxlovid,89
2023-09-15,Paxlovid,79
2023-09-16,Paxlovid,81
2023-09-17,Paxlovid,97
2023-09-18,Paxlovid,112
2023-09-19,Paxlovid,120
2023-09-20,Paxlovid,105
2023-09-21,Paxlovid,93
2023-09-22,Paxlovid,77
2023-09-23,Paxlovid,87
2023-09-24,Paxlovid,96
2023-09-25,Paxlovid,118
2023-09-26,Paxlovid,115
2023-09-27,Paxlovid,113
2023-09-28,Paxlovid,82
2023-09-29,Paxlovid,80
2023-09-30,Paxlovid,81
2023-10-01,Paxlovid,99
2023-10-02,Paxlovid,109
2023-10-03,Paxlovid,118
2023-10-04,Paxlovid,103
2023-10-05,Paxlovid,90
2023-10-06,Paxlovid,78
2023-10-07,Paxlovid,86
2023-10-08,Paxlovid,100
2023-10-09,Paxlovid,125
2023-10-10,Paxlovid,116
2023-10-11,Paxlovid,108
2023-10-12,Paxlovid,107
2023-10-13,Paxlovid,79
2023-10-14,Paxlovid,89
2023-10-15,Paxlovid,102
2023-10-16,Paxlovid,127
2023-10-17,Paxlovid,112
2023-10-18,Paxlovid,100
2023-10-19,Paxlovid,85
2023-10-20,Paxlovid,81
2023-10-21,Paxlovid,79
2023-10-22,Paxlovid,89
2023-10-23,Paxlovid,111
2023-10-24,Paxlovid,121
2023-10-25,Paxlovid,104
2023-10-26,Paxlovid,97
2023-10-27,Paxlovid,74
2023-10-28,Paxlovid,84
2023-10-29,Paxlovid,98
2023-10-30,Paxlovid,116
2023-10-31,Paxlovid,120
2023-11-01,Paxlovid,116
2023-11-02,Paxlovid,94
2023-11-03,Paxlovid,78
2023-11-04,Paxlovid,87
2023-11-05,Paxlovid,103
2023-11-06,Paxlovid,125
2023-11-07,Paxlovid,118
2023-11-08,Paxlovid,108
2023-11-09,Paxlovid,97
2023-11-10,Paxlovid,70
2023-11-11,Paxlovid,83
2023-11-12,Paxlovid,103
2023-11-13,Paxlovid,120
2023-11-14,Paxlovid,108
2023-11-15,Paxlovid,101
2023-11-16,Paxlovid,78
2023-11-17,Paxlovid,84
2023-11-18,Paxlovid,85
2023-11-19,Paxlovid,107
2023-11-20,Paxlovid,115
2023-11-21,Paxlovid,130
2023-11-22,Paxlovid,103
2023-11-23,Paxlovid,89
2023-11-24,Paxlovid,82
2023-11-25,Paxlovid,80
2023-11-26,Paxlovid,102
2023-11-27,Paxlovid,115
2023-11-28,Paxlovid,118
2023-11-29,Paxlovid,108
2023-11-30,Paxlovid,94
2023-12-01,Paxlovid,78
2023-12-02,Paxlovid,78
2023-12-03,Paxlovid,100
2023-12-04,Paxlovid,112
2023-12-05,Paxlovid,114
2023-12-06,Paxlovid,100
2023-12-07,Paxlovid,95
2023-12-08,Paxlovid,83
2023-12-09,Paxlovid,91
2023-12-10,Paxlovid,100
2023-12-11,Paxlovid,121
2023-12-12,Paxlovid,114
2023-12-13,Paxlovid,99
2023-12-14,Paxlovid,87
2023-12-15,Paxlovid,79
2023-12-16,Paxlovid,86
2023-12-17,Paxlovid,106
2023-12-18,Paxlovid,117
2023-12-19,Paxlovid,130
2023-12-20,Paxlovid,109
2023-12-21,Paxlovid,91
2023-12-22,Paxlovid,82
2023-12-23,Paxlovid,86
2023-12-24,Paxlovid,101
2023-12-25,Paxlovid,109
2023-12-26,Paxlovid,123
2023-12-27,Paxlovid,121
2023-12-28,Paxlovid,86
2023-12-29,Paxlovid,80
2023-12-30,Paxlovid,77
2023-12-31,Paxlovid,103
2023-01-01,Molnupiravir,103
2023-01-02,Molnupiravir,108
2023-01-03,Molnupiravir,112
2023-01-04,Molnupiravir,98
2023-01-05,Molnupiravir,99
2023-01-06,Molnupiravir,76
2023-01-07,Molnupiravir,83
2023-01-08,Molnupiravir,98
2023-01-09,Molnupiravir,120
2023-01-10,Molnupiravir,122
2023-01-11,Molnupiravir,111
2023-01-12,Molnupiravir,87
2023-01-13,Molnupiravir,83
2023-01-14,Molnupiravir,89
2023-01-15,Molnupiravir,103
2023-01-16,Molnupiravir,109
2023-01-17,Molnupiravir,113
2023-01-18,Molnupiravir,117
2023-01-19,Molnupiravir,101
2023-01-20,Molnupiravir,80
2023-01-21,Molnupiravir,84
2023-01-22,Molnupiravir,100
2023-01-23,Molnupiravir,118
2023-01-24,Molnupiravir,112
2023-01-25,Molnupiravir,109
2023-01-26,Molnupiravir,86
2023-01-27,Molnupiravir,80
2023-01-28,Molnupiravir,79
2023-01-29,Molnupiravir,96
2023-01-30,Molnupiravir,116
2023-01-31,Molnupiravir,116
2023-02-01,Molnupiravir,103
2023-02-02,Molnupiravir,98
2023-02-03,Molnupiravir,75
2023-02-04,Molnupiravir,72
2023-02-05,Molnupiravir,102
2023-02-06,Molnupiravir,114
2023-02-07,Molnupiravir,119
2023-02-08,Molnupiravir,109
2023-02-09,Molnupiravir,97
2023-02-10,Molnupiravir,89
2023-02-11,Molnupiravir,85
2023-02-12,Molnupiravir,94
2023-02-13,Molnupiravir,116
2023-02-14,Molnupiravir,122
2023-02-15,Molnupiravir,113
2023-02-16,Molnupiravir,92
2023-02-17,Molnupiravir,77
2023-02-18,Molnupiravir,79
2023-02-19,Molnupiravir,99
2023-02-20,Molnupiravir,108
2023-02-21,Molnupiravir,121
2023-02-22,Molnupiravir,109
2023-02-23,Molnupiravir,92
2023-02-24,Molnupiravir,84
2023-02-25,Molnupiravir,91
2023-02-26,Molnupiravir,99
2023-02-27,Molnupiravir,116
2023-02-28,Molnupiravir,117
2023-03-01,Molnupiravir,111
2023-03-02,Molnupiravir,91
2023-03-03,Molnupiravir,86
2023-03-04,Molnupiravir,90
2023-03-05,Molnupiravir,101
2023-03-06,Molnupiravir,115
2023-03-07,Molnupiravir,118
2023-03-08,Molnupiravir,111
2023-03-09,Molnupiravir,93
2023-03-10,Molnupiravir,79
2023-03-11,Molnupiravir,85
2023-03-12,Molnupiravir,96
2023-03-13,Molnupiravir,117
2023-03-14,Molnupiravir,116
2023-03-15,Molnupiravir,112
2023-03-16,Molnupiravir,89
2023-03-17,Molnupiravir,88
2023-03-18,Molnupiravir,84
2023-03-19,Molnupiravir,101
2023-03-20,Molnupiravir,108
2023-03-21,Molnupiravir,126
2023-03-22,Molnupiravir,108
2023-03-23,Molnupiravir,100
2023-03-24,Molnupiravir,80
2023-03-25,Molnupiravir,83
2023-03-26,Molnupiravir,97
2023-03-27,Molnupiravir,118
2023-03-28,Molnupiravir,122
2023-03-29,Molnupiravir,102
2023-03-30,Molnupiravir,88
2023-03-31,Molnupiravir,84
2023-04-01,Molnupiravir,81
2023-04-02,Molnupiravir,95
2023-04-03,Molnupiravir,116
2023-04-04,Molnupiravir,119
2023-04-05,Molnupiravir,106
2023-04-06,Molnupiravir,100
2023-04-07,Molnupiravir,79
2023-04-08,Molnupiravir,78
2023-04-09,Molnupiravir,91
2023-04-10,Molnupiravir,120
2023-04-11,Molnupiravir,114
2023-04-12,Molnupiravir,108
2023-04-13,Molnupiravir,86
2023-04-14,Molnupiravir,79
2023-04-15,Molnupiravir,86
2023-04-16,Molnupiravir,93
2023-04-17,Molnupiravir,113
2023-04-18,Molnupiravir,116
2023-04-19,Molnupiravir,103
2023-04-20,Molnupiravir,89
2023-04-21,Molnupiravir,77
2023-04-22,Molnupiravir,88
2023-04-23,Molnupiravir,96
2023-04-24,Molnupiravir,117
2023-04-25,Molnupiravir,121
2023-04-26,Molnupiravir,101
2023-04-27,Molnupiravir,88
2023-04-28,Molnupiravir,79
2023-04-29,Molnupiravir,85
2023-04-30,Molnupiravir,98
2023-05-01,Molnupiravir,120
2023-05-02,Molnupiravir,120
2023-05-03,Molnupiravir,110
2023-05-04,Molnupiravir,88
2023-05-05,Molnupiravir,82
2023-05-06,Molnupiravir,94
2023-05-07,Molnupiravir,102
2023-05-08,Molnupiravir,121
2023-05-09,Molnupiravir,118
2023-05-10,Molnupiravir,113
2023-05-11,Molnupiravir,96
2023-05-12,Molnupiravir,81
2023-05-13,Molnupiravir,83
2023-05-14,Molnupiravir,92
2023-05-15,Molnupiravir,115
2023-05-16,Molnupiravir,122
2023-05-17,Molnupiravir,104
2023-05-18,Molnupiravir,84
2023-05-19,Molnupiravir,81
2023-05-20,Molnupiravir,85
2023-05-21,Molnupiravir,93
2023-05-22,Molnupiravir,115
2023-05-23,Molnupiravir,120
2023-05-24,Molnupiravir,115
2023-05-25,Molnupiravir,88
2023-05-26,Molnupiravir,90
2023-05-27,Molnupiravir,84
2023-05-28,Molnupiravir,93
2023-05-29,Molnupiravir,113
2023-05-30,Molnupiravir,113
2023-05-31,Molnupiravir,107
2023-06-01,Molnupiravir,93
2023-06-02,Molnupiravir,81
2023-06-03,Molnupiravir,78
2023-06-04,Molnupiravir,93
2023-06-05,Molnupiravir,117
2023-06-06,Molnupiravir,122
2023-06-07,Molnupiravir,106
2023-06-08,Molnupiravir,78
2023-06-09,Molnupiravir,74
2023-06-10,Molnupiravir,89
2023-06-11,Molnupiravir,96
2023-06-12,Molnupiravir,113
2023-06-13,Molnupiravir,122
2023-06-14,Molnupiravir,107
2023-06-15,Molnupiravir,98
2023-06-16,Molnupiravir,78
2023-06-17,Molnupiravir,80
2023-06-18,Molnupiravir,105
2023-06-19,Molnupiravir,115
2023-06-20,Molnupiravir,114
2023-06-21,Molnupiravir,111
2023-06-22,Molnupiravir,89
2023-06-23,Molnupiravir,74
2023-06-24,Molnupiravir,84
2023-06-25,Molnupiravir,99
2023-06-26,Molnupiravir,107
2023-06-27,Molnupiravir,114
2023-06-28,Molnupiravir,118
2023-06-29,Molnupiravir,91
2023-06-30,Molnupiravir,87
2023-07-01,Molnupiravir,85
2023-07-02,Molnupiravir,106
2023-07-03,Molnupiravir,118
2023-07-04,Molnupiravir,114
2023-07-05,Molnupiravir,111
2023-07-06,Molnupiravir,86
2023-07-07,Molnupiravir,85
2023-07-08,Molnupiravir,85
2023-07-09,Molnupiravir,100
2023-07-10,Molnupiravir,113
2023-07-11,Molnupiravir,123
2023-07-12,Molnupiravir,107
2023-07-13,Molnupiravir,81
2023-07-14,Molnupiravir,71
2023-07-15,Molnupiravir,78
2023-07-16,Molnupiravir,103
2023-07-17,Molnupiravir,119
2023-07-18,Molnupiravir,121
2023-07-19,Molnupiravir,110
2023-07-20,Molnupiravir,98
2023-07-21,Molnupiravir,82
2023-07-22,Molnupiravir,87
2023-07-23,Molnupiravir,99
2023-07-24,Molnupiravir,113
2023-07-25,Molnupiravir,118
2023-07-26,Molnupiravir,118
2023-07-27,Molnupiravir,85
2023-07-28,Molnupiravir,82
2023-07-29,Molnupiravir,76
2023-07-30,Molnupiravir,96
2023-07-31,Molnupiravir,119
2023-08-01,Molnupiravir,110
2023-08-02,Molnupiravir,113
2023-08-03,Molnupiravir,101
2023-08-04,Molnupiravir,82
2023-08-05,Molnupiravir,90
2023-08-06,Molnupiravir,101
2023-08-07,Molnupiravir,119
2023-08-08,Molnupiravir,121
2023-08-09,Molnupiravir,106
2023-08-10,Molnupiravir,88
2023-08-11,Molnupiravir,86
2023-08-12,Molnupiravir,84
2023-08-13,Molnupiravir,99
2023-08-14,Molnupiravir,114
2023-08-15,Molnupiravir,121
2023-08-16,Molnupiravir,102
2023-08-17,Molnupiravir,90
2023-08-18,Molnupiravir,82
2023-08-19,Molnupiravir,77
2023-08-20,Molnupiravir,101
2023-08-21,Molnupiravir,111
2023-08-22,Molnupiravir,121
2023-08-23,Molnupiravir,119
2023-08-24,Molnupiravir,90
2023-08-25,Molnupiravir,75
2023-08-26,Molnupiravir,85
2023-08-27,Molnupiravir,102
2023-08-28,Molnupiravir,110
2023-08-29,Molnupiravir,110
2023-08-30,Molnupiravir,104
2023-08-31,Molnupiravir,91
2023-09-01,Molnupiravir,78
2023-09-02,Molnupiravir,89
2023-09-03,Molnupiravir,102
2023-09-04,Molnupiravir,116
2023-09-05,Molnupiravir,110
2023-09-06,Molnupiravir,111
2023-09-07,Molnupiravir,101
2023-09-08,Molnupiravir,84
2023-09-09,Molnupiravir,81
2023-09-10,Molnupiravir,99
2023-09-11,Molnupiravir,117
2023-09-12,Molnupiravir,126
2023-09-13,Molnupiravir,105
2023-09-14,Molnupiravir,88
2023-09-15,Molnupiravir,80
2023-09-16,Molnupiravir,83
2023-09-17,Molnupiravir,103
2023-09-18,Molnupiravir,116
2023-09-19,Molnupiravir,112
2023-09-20,Molnupiravir,105
2023-09-21,Molnupiravir,88
2023-09-22,Molnupiravir,69
2023-09-23,Molnupiravir,89
2023-09-24,Molnupiravir,100
2023-09-25,Molnupiravir,112
2023-09-26,Molnupiravir,124
2023-09-27,Molnupiravir,110
2023-09-28,Molnupiravir,84
2023-09-29,Molnupiravir,83
2023-09-30,Molnupiravir,91
2023-10-01,Molnupiravir,99
2023-10-02,Molnupiravir,115
2023-10-03,Molnupiravir,120
2023-10-04,Molnupiravir,102
2023-10-05,Molnupiravir,92
2023-10-06,Molnupiravir,76
2023-10-07,Molnupiravir,84
2023-10-08,Molnupiravir,100
2023-10-09,Molnupiravir,118
2023-10-10,Molnupiravir,122
2023-10-11,Molnupiravir,104
2023-10-12,Molnupiravir,92
2023-10-13,Molnupiravir,85
2023-10-14,Molnupiravir,78
2023-10-15,Molnupiravir,108
2023-10-16,Molnupiravir,110
2023-10-17,Molnupiravir,127
2023-10-18,Molnupiravir,103
2023-10-19,Molnupiravir,91
2023-10-20,Molnupiravir,79
2023-10-21,Molnupiravir,77
2023-10-22,Molnupiravir,103
2023-10-23,Molnupiravir,119
2023-10-24,Molnupiravir,122
2023-10-25,Molnupiravir,107
2023-10-26,Molnupiravir,87
2023-10-27,Molnupiravir,85
2023-10-28,Molnupiravir,85
2023-10-29,Molnupiravir,96
2023-10-30,Molnupiravir,116
2023-10-31,Molnupiravir,111
2023-11-01,Molnupiravir,109
2023-11-02,Molnupiravir,94
2023-11-03,Molnupiravir,79
2023-11-04,Molnupiravir,87
2023-11-05,Molnupiravir,104
2023-11-06,Molnupiravir,117
2023-11-07,Molnupiravir,128
2023-11-08,Molnupiravir,115
2023-11-09,Molnupiravir,94
2023-11-10,Molnupiravir,82
2023-11-11,Molnupiravir,83
2023-11-12,Molnupiravir,96
2023-11-13,Molnupiravir,119
2023-11-14,Molnupiravir,118
2023-11-15,Molnupiravir,103
2023-11-16,Molnupiravir,87
2023-11-17,Molnupiravir,77
2023-11-18,Molnupiravir,93
2023-11-19,Molnupiravir,104
2023-11-20,Molnupiravir,115
2023-11-21,Molnupiravir,121
2023-11-22,Molnupiravir,111
2023-11-23,Molnupiravir,86
2023-11-24,Molnupiravir,74
2023-11-25,Molnupiravir,89
2023-11-26,Molnupiravir,93
2023-11-27,Molnupiravir,115
2023-11-28,Molnupiravir,115
2023-11-29,Molnupiravir,109
2023-11-30,Molnupiravir,90
